time	log
44:55.5	[2025-12-30T06:44:55.484Z] [INFO] [DL] 歸類後記帳成功: ID=1767077094483 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:55.9	[2025-12-30T06:44:55.485Z] [DEBUG] [DL] 階段二：開始處理備註文字: "藍芽耳機77777", 金額: 77777, 支付方式: "信用卡" [undefined] [Code: DEBUG] [Location: LBK_removeAmountFromText]
44:57.0	WH_replyMessage: 收到類型 object 的訊息對象
44:57.0	💳 ...)
44:57.0	📅 時間：2025/... (INFO)
44:57.0	💰 金額：77,777元 (支出)
44:57.0	WH_replyMessage: 發現responseMessage屬性 (string), 長度=107
44:57.0	[2025-12-30T06:44:55.881Z] [INFO] [DL] 階段二：備註處理完成: "藍芽耳機77777" → "藍芽耳機" [undefined] [Code: INFO] [Location: LBK_removeAmountFromText]
44:57.0	💰 金額：77,777元 (支出)
44:57.0	WH_replyMessage: 訊息對象結構: ["success","message","responseMessage","moduleCode","module","data","processingTime","moduleVersion","classificationCompleted","bookkeepingCompleted"]
44:57.0	📅 時間：2025/...
44:57.0	💰 金額：77,777元 (支出)
44:57.0	[WH 2.0.16 LOG] WH 2.0.3: 發送API請求到LINE平台 (INFO)
44:57.0	[2025-12-30T06:44:55.882Z] [INFO] [DL] 科目歸類+記帳完整流程成功完成 [c913f1bd] [User: Uae47d9d496e4596d70ed724a7d6e2948] [Code: INFO] [Location: LBK_handleClassificationPostback]
44:57.0	💳 支付方式：信用卡
44:57.0	WH_replyMessage: 發現message屬性 (string)
44:57.0	WH_replyMessage: 開始回覆訊息: ✅ 記帳成功！
44:57.0	WH_replyMessage: 訊息對象預覽: {"success":true,"message":"✅ 記帳成功！\n💰 金額：77,777元 (支出)\n💳 支付方式：信用卡\n📅 時間：2025/12/30 下午02:44\n📂 科目：生活家用\n📝 備註：藍芽耳機\n🔖 交易ID：1767077094483","responseMessage":"✅ 記帳成功！\n💰 金額：77,777元 (支出)\n💳 支付方式：信用...
44:57.0	[WH 2.0.16 LOG] WH 2.0.3: 開始回覆訊息: ✅ 記帳成功！
44:57.0	WH_replyMessage: 使用responseMessage屬性 (✅ 記帳成功！
44:57.0	💳 支付方式：信用卡
44:57.2	[WH 2.0.16 LOG] WH 2.0.7: 非同步處理完成 [c913f1bd] (INFO)
44:57.2	非同步處理完成，已清理數據 [c913f1bd]
44:57.2	[WH 2.0.16 LOG] WH 2.5.3: postback處理完成並回覆用戶 [c913f1bd] (INFO)
44:57.2	回覆訊息成功
44:57.2	LINE API 回覆結果: 200
