MM 	 DD 	 Description 	    Progress
12	26	 修復科目歸類、支付歸類邏輯併merge到main  	 Closed
12	26	 降低firestore寫入量  	 Critical
12	26	 研究rich menu統計查詢導入quick reply按鈕  	 Closed
12	26	 修復統計查詢按鈕失靈問題  	 Closed
12	26	 需刪除SR模組FEATURE_USEAGE集合  	 Closed
12	26	 修復支付歸類邏輯現金、銀行轉帳問題  	 Closed
12	28	 修改科目歸類訊息  	 Closed
12	28	 刪除SR模組FEATURE_USEAGE集合  	 Closed
12	29	 刪除index.js心跳機制  	 Closed
12	29	 刪除_health check集合寫入  	 Closed
12	29	 刪除LINE OA加入說明  	 Closed
12	29	 修改workflow(index.js/ASL.js in parellel)  	 Closed
12	29	 修改index.js log過多問題  	 Closed
12	29	 檢視0070文件：wallets子集合  	 Ongoing
12	29	 修改ASL.js log過多問題  	 Ongoing
12	30	 分析記帳時間  	 Closed
12	30	 修改WH health check 時間到168小時  	 Closed
12	30	 建立0003文件PBI  	 Ongoing
12	30	 部署LINE webhook  	 Ongoing
12	30	 整理0002與0003文件  	 Ongoing
12	31	 Debug：千分位顯示問題  	 Ongoing
